Cell	Drug	Drug_Name
SIDM00879	9915743	Neratinib
SIDM00872	9915743	Neratinib
SIDM00884	9915743	Neratinib
SIDM00874	9915743	Neratinib
SIDM00675	9915743	Neratinib
SIDM00097	9915743	Neratinib
SIDM00148	9915743	Neratinib
SIDM00122	9915743	Neratinib
SIDM00135	9915743	Neratinib
SIDM00146	9915743	Neratinib
SIDM00893	9915743	Neratinib
SIDM00940	9915743	Neratinib
SIDM01056	9915743	Neratinib
SIDM00882	9915743	Neratinib
SIDM00878	9915743	Neratinib
SIDM00875	9915743	Neratinib
SIDM00673	9915743	Neratinib
SIDM00633	9915743	Neratinib
SIDM00528	9915743	Neratinib
SIDM00272	9915743	Neratinib
SIDM00628	9915743	Neratinib
SIDM01186	9915743	Neratinib
SIDM00971	9915743	Neratinib
SIDM00898	9915743	Neratinib
SIDM00928	9915743	Neratinib
SIDM00933	9915743	Neratinib
SIDM00630	9915743	Neratinib
SIDM00529	9915743	Neratinib
SIDM00920	9915743	Neratinib
SIDM00892	9915743	Neratinib
SIDM00629	9915743	Neratinib
SIDM01002	9915743	Neratinib
SIDM00881	9915743	Neratinib
SIDM00870	9915743	Neratinib
SIDM01062	9915743	Neratinib
SIDM01037	9915743	Neratinib
SIDM00631	9915743	Neratinib
SIDM00866	9915743	Neratinib
SIDM00005	9915743	Neratinib
SIDM00147	9915743	Neratinib
SIDM00314	9915743	Neratinib
SIDM00897	9915743	Neratinib
SIDM01590	9915743	Neratinib
SIDM01591	9915743	Neratinib
SIDM01594	9915743	Neratinib
SIDM01622	9915743	Neratinib
SIDM01701	9915743	Neratinib
SIDM01702	9915743	Neratinib
