Cell	Drug	Drug_Name
SIDM01233	50922675	Encorafenib
SIDM01197	50922675	Encorafenib
SIDM00681	50922675	Encorafenib
SIDM00527	50922675	Encorafenib
SIDM00944	50922675	Encorafenib
SIDM00781	50922675	Encorafenib
SIDM00783	50922675	Encorafenib
SIDM00789	50922675	Encorafenib
SIDM00136	50922675	Encorafenib
SIDM00826	50922675	Encorafenib
SIDM00841	50922675	Encorafenib
SIDM00541	50922675	Encorafenib
SIDM00534	50922675	Encorafenib
SIDM00537	50922675	Encorafenib
SIDM00839	50922675	Encorafenib
SIDM00359	50922675	Encorafenib
SIDM00812	50922675	Encorafenib
SIDM00834	50922675	Encorafenib
SIDM00837	50922675	Encorafenib
SIDM01168	50922675	Encorafenib
SIDM00833	50922675	Encorafenib
SIDM00832	50922675	Encorafenib
SIDM00782	50922675	Encorafenib
SIDM00957	50922675	Encorafenib
SIDM00488	50922675	Encorafenib
SIDM00680	50922675	Encorafenib
SIDM00487	50922675	Encorafenib
SIDM00835	50922675	Encorafenib
SIDM00217	50922675	Encorafenib
SIDM00216	50922675	Encorafenib
SIDM00214	50922675	Encorafenib
SIDM00194	50922675	Encorafenib
SIDM00193	50922675	Encorafenib
SIDM00498	50922675	Encorafenib
SIDM00777	50922675	Encorafenib
SIDM01096	50922675	Encorafenib
SIDM00049	50922675	Encorafenib
SIDM00215	50922675	Encorafenib
SIDM00014	50922675	Encorafenib
SIDM00036	50922675	Encorafenib
SIDM00068	50922675	Encorafenib
SIDM00071	50922675	Encorafenib
SIDM00171	50922675	Encorafenib
SIDM00192	50922675	Encorafenib
SIDM00497	50922675	Encorafenib
SIDM00500	50922675	Encorafenib
SIDM00536	50922675	Encorafenib
SIDM00780	50922675	Encorafenib
SIDM00823	50922675	Encorafenib
SIDM00836	50922675	Encorafenib
SIDM00840	50922675	Encorafenib
SIDM00945	50922675	Encorafenib
SIDM00960	50922675	Encorafenib
SIDM01266	50922675	Encorafenib
SIDM01267	50922675	Encorafenib
SIDM01268	50922675	Encorafenib
SIDM01272	50922675	Encorafenib
SIDM01273	50922675	Encorafenib
SIDM01276	50922675	Encorafenib
SIDM01278	50922675	Encorafenib
SIDM01279	50922675	Encorafenib
SIDM01281	50922675	Encorafenib
SIDM01282	50922675	Encorafenib
SIDM01284	50922675	Encorafenib
