Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1786,AZD4547,1035270-39-3,51039095,"FGFR1, FGFR2, FGFR3",RTK signaling,GDSC2,SANGER,GDSC
1409,AZD4877,SN1055467765,10368812,EG5,Mitosis,GDSC1,SANGER,PubChem [ID Exchange]
1706,AZD5153,"SN1045566955, AZD5153",118693659,BRD4,Chromatin other,GDSC2,SANGER,PubChem [ID Exchange]
1916,AZD5363,NA,25227436,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",GDSC2,SANGER,GDSC
1401,AZD5438,SN1057898678,16747683,CDK2,Cell cycle,GDSC1,SANGER,PubChem [ID Exchange]
1401,AZD5438,SN1057898678,16747683,CDK2,Cell cycle,GDSC2,SANGER,PubChem [ID Exchange]
1427,AZD5582,SN1021632995,49847690,IAP,Other,GDSC1,SANGER,PubChem [ID Exchange]
1617,AZD5582,"GTPL7710, AOB5560",49847690,"XIAP, cIAP",Apoptosis regulation,GDSC2,SANGER,GDSC
1720,AZD5991,"SN1049446612, AZD5991",131634760,MCL1,Apoptosis regulation,GDSC2,SANGER,PubChem [ID Exchange]
1403,AZD6094,SN1042487586,68289010,MET,RTK signaling,GDSC1,SANGER,PubChem [ID Exchange]
156,AZD6482,"AZD 6482, AZD-6482, AK-55409",44137675,PI3Kbeta,PI3K/MTOR signaling,GDSC1,MGH,GDSC
1066,AZD6482,"AZD 6482, AZD-6482, AK-55409",44137675,PIK3CB,PI3K/MTOR signaling,GDSC1,SANGER,GDSC
2169,AZD6482,"AZD 6482, AZD-6482, AK-55409",44137675,PI3Kbeta,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1394,AZD6738,SN1034081770,54761306,ATR,Genome integrity,GDSC1,SANGER,PubChem [ID Exchange]
1917,AZD6738,"AZD 6738, AZD-6738",54761306,ATR,Genome integrity,GDSC2,SANGER,GDSC
1022,AZD7762,"AZD-7762, AZD 7762",11152667,"CHEK1, CHEK2",Cell cycle,GDSC1,SANGER,GDSC
1402,AZD7762,SN1031853762,11152667,"CHEK1, CHEK2",Cell cycle,GDSC1,SANGER,PubChem [ID Exchange]
1022,AZD7762,"AZD-7762, AZD 7762",11152667,"CHEK1, CHEK2",Cell cycle,GDSC2,SANGER,GDSC
1426,AZD7969,SN1098976045,NA,GSK3B,WNT signaling,GDSC1,SANGER,NA
1059,AZD8055,AZD-8055,25262965,"MTORC1, MTORC2",PI3K/MTOR signaling,GDSC1,SANGER,GDSC
