Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1237,EPZ004777,EPZ-004777,56962336,DOT1L,Chromatin histone methylation,GDSC2,SANGER,GDSC
1563,EPZ5676,"EPZ-5676, Pinometostat",57345410,DOT1L,Chromatin histone methylation,GDSC2,SANGER,GDSC
1713,ERK_2440,"SN1051032892, ERK_2440",NA,"ERK1,ERK2",ERK MAPK signaling,GDSC2,SANGER,NA
1714,ERK_6604,"SN1047587618, ERK_6604",NA,"ERK1,ERK2",ERK MAPK signaling,GDSC2,SANGER,NA
447,ETP-45835,NA,71755761,"MNK1, MNK2","Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
1712,Eg5_9814,"SN1047613775, Eg5_9814",NA,KSP11,Other,GDSC2,SANGER,NA
1835,Elephantin,NA,442205,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1031,Elesclomol,STA-4783,300471,HSP90,Protein stability and degradation,GDSC1,SANGER,GDSC
1031,Elesclomol,STA-4783,300471,HSP90,Protein stability and degradation,GDSC2,SANGER,GDSC
172,Embelin,"Emberine, Embelic acid",3218,XIAP,Apoptosis regulation,GDSC1,MGH,GDSC
88,Entinostat,MS-275,4261,"HDAC1, HDAC3",Chromatin histone acetylation,GDSC1,MGH,GDSC
1593,Entinostat,MS-275,4261,"HDAC1, HDAC3",Chromatin histone acetylation,GDSC2,SANGER,GDSC
1630,Entospletinib,GS-9973,59473233,SYK,"Other, kinases",GDSC2,SANGER,GDSC
229,Enzastaurin,LY317615,176167,PKCB,"Other, kinases",GDSC1,MGH,GDSC
1413,EphB4_9721,SN1076287848,NA,EPHB4,RTK signaling,GDSC1,SANGER,NA
1511,Epirubicin,"Ellence, Farmorubicin, IMI-28",41867,Anthracycline,DNA replication,GDSC2,SANGER,GDSC
201,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",448013,Microtubule stabiliser,Mitosis,GDSC1,MGH,GDSC
1,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",176870,EGFR,EGFR signaling,GDSC1,MGH,GDSC
1168,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",176870,EGFR,EGFR signaling,GDSC2,SANGER,GDSC
134,Etoposide,"Etopophos, Vepesid, Eposin, VP-16",36462,TOP2,DNA replication,GDSC1,MGH,GDSC
1419,FEN1_3940,SN1106019609,NA,FEN1,Genome integrity,GDSC1,SANGER,NA
1421,FGFR_0939,SN1043317881,NA,FGFR4,RTK signaling,GDSC1,SANGER,NA
1422,FGFR_3831,SN1037992934,NA,"FGFR1, FGFR2, FGFR3, FGFR4",RTK signaling,GDSC1,SANGER,NA
173,FH535,NA,3463933,"PPARgamma, PPARdelta",Other,GDSC1,MGH,GDSC
231,FMK,KIN001-242,644243,RSK,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
263,FR-180204,"FR 180204, FR180204, ERK Inhibitor II",11493598,"ERK1, ERK2",ERK MAPK signaling,GDSC1,MGH,GDSC
1128,FS106,NA,NA,CHEK1,Cell cycle,GDSC1,SANGER,NA
1186,FS112,NA,NA,KS6B1 (p70S6K),PI3K/MTOR signaling,GDSC1,SANGER,NA
166,FTI-277,NA,3005532,Farnesyl-transferase (FNTA),Other,GDSC1,MGH,GDSC
546,FTY-720,Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia,107969,S1P,Other,GDSC1,MGH,PubChem [ID Exchange]
1198,FY012,NA,NA,NA,Unclassified,GDSC1,SANGER,NA
1195,FY026,"[(para-cymene)osmium(N,N-dimethylphenlyazopyridine)(iodide)]hexafluorophophate",NA,NA,Unclassified,GDSC1,SANGER,NA
1196,FY069,[(biphenyl)osmium(5-fluoro-phenlyazopyridine)(iodide)]hexafluorophophate,NA,NA,Unclassified,GDSC1,SANGER,NA
306,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",16722836,JAK2,"Other, kinases",GDSC1,MGH,GDSC
432,Flavopiridol,NA,5287969,CDK,Cell cycle,GDSC1,MGH,PubChem [ID Exchange]
1813,Fludarabine,Fludara,657237,Antimetabolite,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
308,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",42642645,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,GDSC1,MGH,GDSC
2040,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",42642645,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,GDSC2,SANGER,GDSC
1414,Fulvestrant,SN0117217688,104741,ESR1,Hormone-related,GDSC1,SANGER,PubChem [ID Exchange]
1200,Fulvestrant,"Faslodex, ICI-182780",104741,ESR,Hormone-related,GDSC2,SANGER,GDSC
1816,Fulvestrant,NA,104741,ESR,Hormone-related,GDSC2,SANGER,PubChem [ID Exchange]
1925,GDC0810,"GDC-0810, GDC 0810",56941241,"ESR1, ESR2",Hormone-related,GDSC2,SANGER,GDSC
1926,GNE-317,"GNE317, GNE 317",70676303,PI3Kalpha,PI3K/MTOR signaling,GDSC2,SANGER,GDSC
52,GNF-2,KIN001-013,5311510,BCR-ABL,ABL signaling,GDSC1,MGH,GDSC
1254,GSK-J4,NA,71729975,KDM6B,Chromatin histone methylation,GDSC1,SANGER,PubChem [ID Exchange]
1583,GSK-LSD1,"N-((1R,2S)-2-phenylcyclopropyl)piperidin-4-amine",71522234,KDM1,Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
2154,GSK-LSD1-2HCl ,NA,NA,LSD1,Chromatin histone methylation,GDSC2,SANGER,NA
374,GSK1059615,NA,23582824,PI3K,PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
226,GSK1070916,GSK-1070916,46885626,"AURKA, AURKC",Mitosis,GDSC1,MGH,GDSC
202,GSK1904529A,"GSK-1904529A, GSK 1904529A",25124816,"IGF1R, IR",RTK signaling,GDSC1,MGH,GDSC
1093,GSK1904529A,"GSK-1904529A, GSK 1904529A",25124816,"IGF1R, IR",IGF1R signaling,GDSC2,SANGER,GDSC
1778,GSK2110183B,NA,46843056,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC2,SANGER,PubChem [ID Exchange]
1776,GSK2256098C,NA,NA,FAK1,Cytoskeleton,GDSC2,SANGER,NA
1777,GSK2276186C,NA,NA,"JAK1, JAK2, JAK3","Other, kinases",GDSC2,SANGER,NA
1927,GSK2578215A,"GSK 2578215A,  GSK-2578215A",68107965,LRRK2,"Other, kinases",GDSC2,SANGER,GDSC
1618,GSK2606414,AK175551,53469448,PERK,Metabolism,GDSC2,SANGER,GDSC
127,GSK269962A,GSK 269962A,16095342,"ROCK1, ROCK2",Cytoskeleton,GDSC1,MGH,GDSC
1192,GSK269962A,GSK 269962A,16095342,"ROCK1, ROCK2",Cytoskeleton,GDSC1,SANGER,GDSC
1192,GSK269962A,GSK 269962A,16095342,"ROCK1, ROCK2",Cytoskeleton,GDSC2,SANGER,GDSC
1580,GSK2801,"1-(7-(2-methylsulfonyl-phenyl)-4-propoxy-1-aza-bicyclo[4.3.0]nona-2,4,6,8-tetraen-9-yl)-ethanone",73010930,NA,Chromatin other,GDSC2,SANGER,PubChem [ID Exchange]
2359,GSK2830371,None,70983932,WIP1,Other,GDSC2,SANGER,GDSC
1782,GSK2830371A,NA,NA,PPM1D,Other,GDSC2,SANGER,NA
91,GSK319347A,"KIN001-135, IKK-3 inhibitor",11626927,IKK,"Other, kinases",GDSC1,MGH,GDSC
1780,GSK3337463A,NA,NA,NIK,"Other, kinases",GDSC2,SANGER,NA
1627,GSK343,"GTPL8240, AOB3680, AK175558",71268957,EZH2,Chromatin histone methylation,GDSC2,SANGER,GDSC
2037,GSK343,NA,71268957,EZH2,Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
230,GSK429286A,NA,11373846,"ROCK1, ROCK2",Cytoskeleton,GDSC1,MGH,GDSC
2110,GSK591,"EPZ015866, GSK3203591",117072552,PMRT5,Chromatin histone methylation,GDSC2,SANGER,GDSC
1779,GSK626616AC,NA,NA,DYRK1A,"Other, kinases",GDSC2,SANGER,NA
177,GSK650394,"GSK-650394, GSK 650394",25022668,"SGK2, SGK3","Other, kinases",GDSC1,MGH,GDSC
326,GSK690693,"GSK 690693, GSK-690693",16725726,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC1,MGH,GDSC
193,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",11617559,CSF1R,RTK signaling,GDSC1,MGH,GDSC
1023,GW441756,GW 441756,9943465,NTRK1,RTK signaling,GDSC1,SANGER,GDSC
1023,GW441756,GW 441756,9943465,NTRK1,RTK signaling,GDSC2,SANGER,GDSC
87,GW843682X,GW843682X (AN-13),9826308,PLK1,Cell cycle,GDSC1,MGH,GDSC
1830,Gallibiscoquinazole,NA,353472,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
1010,Gefitinib,"ZD-1839, Iressa",123631,EGFR,EGFR signaling,GDSC1,SANGER,GDSC
1010,Gefitinib,"ZD-1839, Iressa",123631,EGFR,EGFR signaling,GDSC2,SANGER,GDSC
135,Gemcitabine,"Gemzar, LY-188011",60750,Pyrimidine antimetabolite,DNA replication,GDSC1,MGH,GDSC
1393,Gemcitabine,NA,60750,Pyrimidine antimetabolite,DNA replication,GDSC1,SANGER,PubChem [ID Exchange]
1190,Gemcitabine,"Gemzar, LY-188011",60750,Pyrimidine antimetabolite,DNA replication,GDSC2,SANGER,GDSC
225,Genentech Cpd 10,NA,NA,"AURKA, AURKB",Mitosis,GDSC1,MGH,NA
1142,HG-5-113-01,NA,25226483,AURKA,Mitosis,GDSC1,SANGER,HMS-LINCS
1143,HG-5-88-01,NA,25226117,"TAK1, M4K2","Other, kinases",GDSC1,SANGER,HMS-LINCS
1204,HG-6-71-01,NA,71550931,"DDR1, DDR2, SRC","Other, kinases",GDSC1,SANGER,Manual Search
159,HG6-64-1,KIN001-206,53302361,BRAF,ERK MAPK signaling,GDSC1,MGH,GDSC
2010,HKMTI-1-005,NA,53315436,NA,Unclassified,GDSC2,SANGER,"WebChem [PubChem, ChemSpider]"
1232,I-BET-151,GSK12100151A,52912189,"BRD2, BRD3, BRD4",Chromatin other,GDSC1,SANGER,PubChem [ID Exchange]
275,I-BET-762,GSK525762A,46943432,"BRD2, BRD3, BRD4",Chromatin other,GDSC1,MGH,GDSC
1624,I-BET-762,GSK525762A,46943432,"BRD2, BRD3, BRD4",Chromatin other,GDSC2,SANGER,GDSC
1928,I-BRD9,"GSK602, GSK 602, GSK-602",91668541,BRD9,Chromatin other,GDSC2,SANGER,GDSC
1531,I-CBP112,NA,90488984,"EP300, CBP",Chromatin histone acetylation,GDSC1,SANGER,PubChem [ID Exchange]
1428,IAP_5620,SN1043546339,NA,IAP,Other,GDSC1,SANGER,NA
1428,IAP_5620,SN1043546339,NA,IAP,Other,GDSC2,SANGER,NA
1429,IAP_7638,SN1043547481,NA,IAP,Other,GDSC1,SANGER,NA
236,IC-87114,NA,9908783,PI3Kdelta,PI3K/MTOR signaling,GDSC1,MGH,PubChem [ID Exchange]
2011,ICL-SIRT078,NA,45168044,SIR2,Other,GDSC2,SANGER,"WebChem [PubChem, ChemSpider]"
1266,ICL1100013,NA,NA,N-myristoyltransferase 1/2,Other,GDSC1,SANGER,NA
1738,IGF1R_3801,"SN1051640224, IGF1R_3801",NA,IGFR1,IGF1R signaling,GDSC2,SANGER,NA
1430,IGFR_3801,SN1056768819,NA,IGFR1,IGF1R signaling,GDSC1,SANGER,NA
442,IMD-0354,NA,5081913,IKKb,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
1230,IOX2,"IOX-2, IOX 2, AK176060",54685215,EGLN1,Other,GDSC1,SANGER,GDSC
2174,IOX2,"IOX-2, IOX 2, AK176060",54685215,EGLN1,Other,GDSC2,SANGER,GDSC
176,IPA-3,IPA 3,521106,PAK1,Cytoskeleton,GDSC1,MGH,GDSC
1716,IRAK4_4710,"SN1050852374, IRAK4_4710",NA,IRAK4,"Other, kinases",GDSC2,SANGER,NA
1576,IWP-2,Wnt Inhibitor IWP-2,2155128,PORCN,WNT signaling,GDSC2,SANGER,GDSC
1799,Ibrutinib,"PCI-32765, CRA-032765, PCI-32765-00",24821094,BTK,"Other, kinases",GDSC2,SANGER,GDSC
238,Idelalisib,"CAL-101, Zydelig",11625818,PI3Kdelta,PI3K/MTOR signaling,GDSC1,MGH,GDSC
34,Imatinib,"Gleevec, STI-571",5291,"ABL, KIT, PDGFR","Other, kinases",GDSC1,MGH,GDSC
1924,Ipatasertib,"GDC0068, GDC 0068, GDC-0068",24788740,"AKT1, AKT, AKT3",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1088,Irinotecan,"Camptosar, (+)-Irinotecan, Irinotecanum, irinotecan hydrochloride",60838,TOP1,DNA replication,GDSC2,SANGER,GDSC
208,Ispinesib Mesylate,SB-715992,6450816,KSP,Mitosis,GDSC1,MGH,GDSC
1433,JAK1_3715,SN1042605297,NA,JAK1,"Other, kinases",GDSC1,SANGER,NA
1718,JAK1_8709,"SN1049200060, JAK1_8709",NA,JAK1,"Other, kinases",GDSC2,SANGER,NA
1434,JAK3_7406,SN1014281280,NA,JAK3,"Other, kinases",GDSC1,SANGER,NA
1739,JAK_8517,"SN1066590414, JAK_8517",NA,"JAK1, JAK2","Other, kinases",GDSC2,SANGER,NA
284,JNJ38877605,NA,46911863,MET,RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1043,JNK Inhibitor VIII,NA,11624601,JNK,JNK and p38 signaling,GDSC1,SANGER,GDSC
1043,JNK Inhibitor VIII,NA,11624601,JNK,JNK and p38 signaling,GDSC2,SANGER,GDSC
157,JNK-9L,"KIN001-204, JNK inhibitor 9l",25222038,"JNK2, JNK3",JNK and p38 signaling,GDSC1,MGH,GDSC
1205,JNK-9L,NA,25222038,"BAZ2A, BAZ2B",NA,GDSC1,SANGER,GDSC
163,JQ1,"JQ-1, (+)-JQ-1",46907787,"BRD2, BRD3, BRD4, BRDT",Chromatin other,GDSC1,MGH,GDSC
1218,JQ1,"JQ-1, (+)-JQ-1",46907787,"BRD2, BRD3, BRD4, BRDT",Chromatin other,GDSC1,SANGER,GDSC
2172,JQ1,"JQ-1, (+)-JQ-1",46907787,"BRD2, BRD3, BRD4, BRDT",Chromatin other,GDSC2,SANGER,GDSC
164,JQ12,NA,6918878,"HDAC1, HDAC2",Chromatin histone acetylation,GDSC1,MGH,Manual Search
256,JW-7-24-1,NA,69923936,LCK,"Other, kinases",GDSC1,MGH,HMS-LINCS
83,JW-7-52-1,NA,49836027,MTOR,PI3K/MTOR signaling,GDSC1,MGH,GDSC
289,KIN001-042,NA,6539732,GSK3B,WNT signaling,GDSC1,MGH,HMS-LINCS
286,KIN001-236,NA,NA,"HDAC6, HDAC10",Chromatin histone acetylation,GDSC1,MGH,NA
287,KIN001-244,PDK1 inhibitor 7,56965967,PDK1,"Other, kinases",GDSC1,MGH,GDSC
290,KIN001-260,"Bayer IKKb inhibitor, ACHP",135465539,CDC7,DNA replication,GDSC1,MGH,GDSC [Legacy CID 10451420]
291,KIN001-266,NA,44143370,CDC7,DNA replication,GDSC1,MGH,GDSC
345,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",66577006,CDK9,Other,GDSC1,MGH,GDSC
1855,KRAS (G12C) Inhibitor-12,GTPL8020,73555129,KRAS (G12C),ERK MAPK signaling,GDSC2,SANGER,GDSC
1030,KU-55933,KU55933,5278396,ATM,Genome integrity,GDSC1,SANGER,GDSC
1030,KU-55933,KU55933,5278396,ATM,Genome integrity,GDSC2,SANGER,GDSC
1185,KU-60019,NA,15953870,ATM,Genome integrity,GDSC1,SANGER,PubChem [ID Exchange]
563,Kobe2602,NA,3827738,RAS effector,RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1831,L-Oxonoreleagnine,NA,87371,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
439,LCL161,NA,24737642,"XIAP, cIAP1, cIAP2",Apoptosis regulation,GDSC1,MGH,PubChem [ID Exchange]
1557,LCL161,NA,24737642,"XIAP, IAP1, IAP2",Apoptosis regulation,GDSC2,SANGER,GDSC
478,LDN-193189,NA,25195294,BMP,Other,GDSC1,MGH,PubChem [ID Exchange]
192,LFM-A13,DDE-28,54676905,BTK,"Other, kinases",GDSC1,MGH,GDSC
573,LGK974,NA,46926973,PORCN,WNT signaling,GDSC1,MGH,PubChem [ID Exchange]
1598,LGK974,LGK-974,46926973,PORCN,WNT signaling,GDSC2,SANGER,GDSC
406,LIMK1 inhibitor BMS4,NA,46192505,LIMK1,Cytoskeleton,GDSC1,MGH,Manual Search
2107,LJI308,NA,118704762,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
1783,LMB_AB1,NA,NA,"ADRA1A, ADRB1",Other,GDSC2,SANGER,NA
1784,LMB_AB2,NA,NA,GADD34,Unclassified,GDSC2,SANGER,NA
1785,LMB_AB3,NA,NA,PPP1R15B,Other,GDSC2,SANGER,NA
1843,LMP744,MJ-III-65,397888,TOP1,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
1852,LY2109761,5XE,11655119,TGFB1,Other,GDSC2,SANGER,GDSC
119,Lapatinib,"Tykerb, Tyverb",208908,"EGFR, ERBB2",RTK signaling,GDSC1,MGH,GDSC
1558,Lapatinib,"Tykerb, Tyverb",208908,"EGFR, ERBB2",EGFR signaling,GDSC2,SANGER,GDSC
1578,Leflunomide,"Sulol, SU-101, HWA-486, Arava",3899,Pyrimidine synthesis inhibitor,DNA replication,GDSC2,SANGER,GDSC
1020,Lenalidomide,"CDC-501, CC-5013, Revlimid",216326,CRBN,Protein stability and degradation,GDSC1,SANGER,GDSC
1020,Lenalidomide,"CDC-501, CC-5013, Revlimid",216326,CRBN,Protein stability and degradation,GDSC2,SANGER,GDSC
1024,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555",126565,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",GDSC1,SANGER,GDSC
1024,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555",126565,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",GDSC2,SANGER,GDSC
277,Linifanib,"ABT-869, ABT 869",11485656,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling,GDSC1,MGH,GDSC
185,Linsitinib,"OSI-906, ASP-7487",11640390,IGF1R,IGF1R signaling,GDSC1,MGH,GDSC
1510,Linsitinib,"OSI-906, ASP-7487",11640390,IGF1R,IGF1R signaling,GDSC2,SANGER,GDSC
194,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",135539077,HSP90,Protein stability and degradation,GDSC1,MGH,GDSC [Legacy CID 10096043]
1559,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",135539077,HSP90,Protein stability and degradation,GDSC2,SANGER,GDSC [Legacy CID 10096043]
1436,MCT1_6447,SN0177231247,NA,MCT1,Cell cycle,GDSC1,SANGER,NA
1437,MCT4_1422,SN1043999849,NA,MCT4,Other,GDSC1,SANGER,NA
9,MG-132,"LLL cpd, MG 132, MG132",462382,"Proteasome, CAPN1",Protein stability and degradation,GDSC1,MGH,GDSC
1862,MG-132,"LLL cpd, MG 132, MG132",462382,"Proteasome, CAPN1",Protein stability and degradation,GDSC2,SANGER,GDSC
446,MIM1,NA,135691163,MCL-1,Apoptosis regulation,GDSC1,MGH,PubChem [ID Exchange]
1996,MIM1,"MIM 1, MIM-1",135691163,MCL1,Apoptosis regulation,GDSC2,SANGER,PubChem [ID Exchange]
1931,MIRA-1,"MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630",227681,TP53,p53 pathway,GDSC2,SANGER,GDSC
1179,MK-1775,"AZD1775, Adavosertib",24856436,"WEE1, PLK1",Cell cycle,GDSC2,SANGER,GDSC
1053,MK-2206,"MK 2206, MK2206",46930998,"AKT1, AKT2",PI3K/MTOR signaling,GDSC1,SANGER,GDSC
1053,MK-2206,"MK 2206, MK2206",46930998,"AKT1, AKT2",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
2046,MK-8776,SCH900776,16224745,"CHEK1, CHEK2, CDK2",Cell cycle,GDSC2,SANGER,GDSC
1629,ML323,"GTPL7898, AOB2313,",60167849,"USP1, UAF1",Protein stability and degradation,GDSC2,SANGER,GDSC
1854,MN-64,NA,2802462,"TNKS1, TNKS2",WNT signaling,GDSC2,SANGER,GDSC
294,MPS-1-IN-1,NA,25195352,MPS1,Mitosis,GDSC1,MGH,GDSC
292,Masitinib,"AB1010, Masivet",10074640,"KIT, PDGFRA, PDGFRB",RTK signaling,GDSC1,MGH,GDSC
410,"MetAP2 Inhibitor, A832234",NA,53413272,MetAP2,Other,GDSC1,MGH,PubChem [ID Exchange]
1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",126941,Antimetabolite,DNA replication,GDSC1,SANGER,GDSC
1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",126941,Antimetabolite,DNA replication,GDSC2,SANGER,GDSC
153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251",9829523,"PKC, PPK, FLT1, c-FGR, others",Other,GDSC1,MGH,PubChem [ID Exchange]
1048,Mirin,NA,137319711,MRE11,Genome integrity,GDSC1,SANGER,"WebChem [PubChem, ChemSpider]"
1048,Mirin,NA,137319711,MRE11,Genome integrity,GDSC2,SANGER,"WebChem [PubChem, ChemSpider]"
136,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",5746,DNA crosslinker,DNA replication,GDSC1,MGH,GDSC
1810,Mitoxantrone,NA,4212,TOP2,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
1029,Motesanib,"AMG-706, AMG 706, AMG706",11667893,"VEGFR, RET, KIT, PDGFR",RTK signaling,GDSC1,SANGER,GDSC
1029,Motesanib,"AMG-706, AMG 706, AMG706",11667893,"VEGFR, RET, KIT, PDGFR",RTK signaling,GDSC2,SANGER,GDSC
2055,Mycophenolic acid,NA,446541,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
2499,N-acetyl cysteine,NAC,12035,Metabolism,Metabolism,GDSC2,SANGER,PubChem [ID Exchange]
1251,N22899-6-C1,NA,NA,Peptidyl arginine deaminase (PAD),Unclassified,GDSC1,SANGER,NA
1252,N23918-95-7,NA,NA,JMJ histone demethylase,Chromatin histone methylation,GDSC1,SANGER,NA
1253,N24798-49-A1,NA,NA,JMJ histone demethylase,Chromatin histone methylation,GDSC1,SANGER,NA
1999,N25720-51-A1,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
2000,N27922-53-1,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
2003,N29087-69-1,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
2002,N30652-18-1,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
260,NG-25,NG25,53340664,"TAK1, M4K2","Other, kinases",GDSC1,MGH,GDSC
1167,NG-25,NA,53340664,TAK1,Unclassified,GDSC1,SANGER,PubChem [ID Exchange]
257,NPK76-II-72-1,NA,46843648,PLK3,Cell cycle,GDSC1,MGH,HMS-LINCS
269,NSC-207895,"XI-006, NSC207895",42640,MDM4,p53 pathway,GDSC1,MGH,GDSC
147,NSC-87877,NSC 87877,92577,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,GDSC1,MGH,GDSC [Legacy CID 5459322]
461,NSC319726,NA,5351307,P53 Mut specific,p53 pathway,GDSC1,MGH,PubChem [ID Exchange]
1038,NU7441,"KU-57788, NU-7432, NU-7741",11327430,DNAPK,Genome integrity,GDSC1,SANGER,GDSC
1038,NU7441,"KU-57788, NU-7432, NU-7741",11327430,DNAPK,Genome integrity,GDSC2,SANGER,GDSC
1932,NVP-ADW742,"NVP ADW742, NVPADW742",9825149,IGF1R,IGF1R signaling,GDSC2,SANGER,GDSC
295,NVP-BHG712,BHG712,16747388,"EPHB4, RAF, SRC, ABL","Other, kinases",GDSC1,MGH,GDSC
35,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",16038120,ALK,RTK signaling,GDSC1,MGH,GDSC
1011,Navitoclax,"ABT-263, ABT263, ABT 263",24978538,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,GDSC1,SANGER,GDSC
1011,Navitoclax,"ABT-263, ABT263, ABT 263",24978538,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,GDSC2,SANGER,GDSC
1814,Nelarabine,"Atriance, Arranon",3011155,NA,DNA replication,GDSC2,SANGER,PubChem [ID Exchange]
1013,Nilotinib,"Tasigna, AMN 107",644241,ABL,ABL signaling,GDSC1,SANGER,GDSC
1013,Nilotinib,"Tasigna, AMN 107",644241,ABL,ABL signaling,GDSC2,SANGER,GDSC
1177,Niraparib,"MK-4827, MK4827",24958200,"PARP1, PARP2",Genome integrity,GDSC2,SANGER,GDSC
1047,Nutlin-3a (-),NA,11433190,MDM2,p53 pathway,GDSC1,SANGER,GDSC
1047,Nutlin-3a (-),NA,11433190,MDM2,p53 pathway,GDSC2,SANGER,GDSC
1853,OF-1,NA,35397514,"BRPF1B, BRPF2",Chromatin histone acetylation,GDSC2,SANGER,GDSC
299,OSI-027,A-1065-5,135398516,"MTORC1, MTORC2",PI3K/MTOR signaling,GDSC1,MGH,GDSC [Legacy CID 44224160]
1594,OSI-027,A-1065-5,135398516,"MTORC1, MTORC2",PI3K/MTOR signaling,GDSC2,SANGER,GDSC [Legacy CID 44224160]
298,OSI-930,OSI 930 OSI930,9868037,"KIT, VEGFR2",RTK signaling,GDSC1,MGH,GDSC
167,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",10027278,PDK1 (PDPK1),Metabolism,GDSC1,MGH,GDSC
1626,OTX015,"Birabresib, OTX-015, MK-8628",9936746,"BRD2, BRD3, BRD4",Chromatin other,GDSC2,SANGER,GDSC
182,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070",11404337,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,GDSC1,MGH,GDSC
1068,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070",11404337,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,GDSC2,SANGER,GDSC
1017,Olaparib,"AZD2281, KU0059436,  Lynparza",23725625,"PARP1, PARP2",Genome integrity,GDSC1,SANGER,GDSC
1495,Olaparib,"AZD2281, KU0059436,  Lynparza",23725625,"PARP1, PARP2",Genome integrity,GDSC1,SANGER,GDSC
1017,Olaparib,"AZD2281, KU0059436,  Lynparza",23725625,"PARP1, PARP2",Genome integrity,GDSC2,SANGER,GDSC
283,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458",25167777,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,GDSC1,MGH,GDSC
1919,Osimertinib,"AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib",71496458,EGFR,EGFR signaling,GDSC2,SANGER,GDSC
1089,Oxaliplatin,Eloxatin,5310940,DNA alkylating agent,DNA replication,GDSC2,SANGER,GDSC
1806,Oxaliplatin,NA,5310940,DNA alkylating agent,DNA replication,GDSC2,SANGER,GDSC
1933,P22077,"P 22077, P-22077",46931953,"USP7, USP47",Protein stability and degradation,GDSC2,SANGER,GDSC
175,PAC-1,GTPL5238,135421197,"Procaspase-3, Procaspase-7",Apoptosis regulation,GDSC1,MGH,GDSC [Legacy CID 6753378]
