"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01503","ACH-000844",NA,"DMS454_LUNG","CVCL_2438","DMS-454",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01578","ACH-000862",NA,"KMBC2_URINARY_TRACT","CVCL_2977","KMBC-2",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01605","ACH-000891",NA,"HCC1438_LUNG","CVCL_L088","HCC1438",NA,"LCLC","Lung","Non-Small Cell Lung Carcinoma","Large Cell Lung Carcinoma"
"SIDM01619","ACH-000984",NA,"HEC6_ENDOMETRIUM","CVCL_2931","HEC-6",NA,"UASC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01519","ACH-000992",NA,"BICR18_UPPER_AERODIGESTIVE_TRACT","CVCL_2309","BICR18",NA,"LXSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM00487","ACH-000963","1240123","CCK81_LARGE_INTESTINE","CVCL_2873","CCK-81",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00333","ACH-000988","1240174","MFE319_ENDOMETRIUM","CVCL_2112","MFE-319",NA,"UCEC","Endometrium","Endometrial Carcinoma","Adenosquamous Endometrial Carcinoma"
"SIDM00438","ACH-002275","908143","MN60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1421","MN-60",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM00447","ACH-000960","909696","REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1650","REH",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Childhood B Acute Lymphoblastic Leukemia"
"SIDM01733","ACH-000629",NA,"IOMMLEE_CENTRAL_NERVOUS_SYSTEM",NA,"IOMM-Lee",NA,"MNG","Central Nervous System","Other Solid Cancers","Meningioma"
"SIDM01737","ACH-001097",NA,"KARPAS384_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KARPAS-384",NA,"ATLL","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Cutaneous T-Cell Lymphoma"
"SIDM01702","ACH-000413",NA,"HS739T_FIBROBLAST",NA,"Hs-739-T",NA,NA,"Breast","Breast Carcinoma","Breast Adenocarcinoma"
"SIDM01704","ACH-000071",NA,"HS706T_BONE",NA,"Hs-706-T",NA,NA,"Bone","Other Solid Cancers","Giant Cell Bone Sarcoma"
"SIDM01714","ACH-002348",NA,"DIPG007_CENTRAL_NERVOUS_SYSTEM",NA,"HSJD-DIPG-007",NA,"DIPG","Central Nervous System","Glioma","Diffuse Intrinsic Pontine Glioma"
"SIDM01708","ACH-000642",NA,"HMEL_BREAST",NA,"HMEL",NA,NA,"Breast","Non-Cancerous",NA
"SIDM01718","ACH-001043",NA,"COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"COLO-775",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01720","ACH-001282",NA,"CHLA258_BONE",NA,"CHLA-258",NA,"ES","Bone","Ewing's Sarcoma","Primitive Neuroectodermal Tumor"
"SIDM01639","ACH-001356",NA,"MB1_THYROID",NA,"MB-1",NA,"THAP","Thyroid","Thyroid Gland Carcinoma","Anaplastic Thyroid Carcinoma"
"SIDM01643","ACH-000634",NA,"LN340_CENTRAL_NERVOUS_SYSTEM",NA,"LN-340",NA,"GB","Central Nervous System","Glioma","Glioblastoma"
"SIDM01655","ACH-001109",NA,"KPMRTRY_SOFT_TISSUE",NA,"KP-MRT-RY",NA,"MRT","Kidney","Other Solid Cancers","Rhabdoid Tumour of the Kidney"
"SIDM01657","ACH-000419",NA,"KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KMS-28-BM",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01661","ACH-001100",NA,"KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KHYG-1",NA,"NKCLL","Haematopoietic and Lymphoid","Other Blood Cancers","Natural Killer Cell Lymphoblastic Leukemia or Lymphoma"
"SIDM01663","ACH-001099",NA,"KD_SOFT_TISSUE",NA,"KD",NA,"ATRT","Soft Tissue","Other Solid Cancers","Extrarenal Rhabdoid Tumor"
"SIDM01669",NA,NA,NA,NA,"NCI-BL2077",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01671","ACH-000533",NA,"NCIH2004RT_SOFT_TISSUE",NA,"NCI-H2004RT",NA,"MRT","Kidney","Other Solid Cancers","Rhabdoid Tumour of the Kidney"
"SIDM01675","ACH-000179",NA,"NCIH1618_LUNG",NA,"NCI-H1618",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01687",NA,NA,NA,NA,"MUTZ-7",NA,NA,"Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM01697","ACH-000229",NA,"HS822T_FIBROBLAST",NA,"Hs-822-T",NA,NA,"Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM01701","ACH-000230",NA,"HS742T_FIBROBLAST",NA,"Hs-742-T",NA,NA,"Breast","Breast Carcinoma","Breast Adenocarcinoma"
"SIDM01703","ACH-000185",NA,"HS737T_FIBROBLAST",NA,"Hs-737-T",NA,NA,"Bone","Other Solid Cancers","Giant Cell Bone Sarcoma"
"SIDM01705","ACH-000850",NA,"HS698T_FIBROBLAST",NA,"Hs-698-T",NA,NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01707","ACH-001092",NA,"HS571T_OVARY",NA,"Hs-571-T",NA,NA,"Ovary","Ovarian Carcinoma","Ovarian Carcinoma"
"SIDM01713","ACH-001066",NA,"EWS834_BONE",NA,"EWS-834",NA,"ES","Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM01717","ACH-001047",NA,"CORL51_LUNG",NA,"COR-L51",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01719","ACH-001042",NA,"COLO704_OVARY",NA,"COLO-704",NA,"UCEC","Ovary","Ovarian Carcinoma","Ovarian Adenocarcinoma"
"SIDM01731","ACH-000216",NA,"JHESOAD1_OESOPHAGUS",NA,"JH-EsoAd1",NA,"ESCA","Esophagus","Esophageal Carcinoma","Barrett s Adenocarcinoma"
"SIDM00093","ACH-000013","1298360","ONCODG1_OVARY","CVCL_1882","ONCO-DG-1",NA,"HGSOC","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM01692","ACH-000077",NA,"MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MJ",NA,"MTNN","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Cutaneous T-Cell Lymphoma"
"SIDM01665","ACH-000089",NA,"NCIH684_LARGE_INTESTINE",NA,"NCI-H684",NA,"COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01682","ACH-000110",NA,"NCCSTCK140_STOMACH",NA,"NCC-StC-K140",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Carcinoma"
"SIDM01726","ACH-000119",NA,"HS863T_FIBROBLAST",NA,"Hs-863-T",NA,NA,"Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM01662","ACH-000564",NA,"KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KHM-1B",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01573","ACH-000576",NA,"KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2993","KMS-27",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01640","ACH-000602",NA,"M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"M-07e",NA,"AMKL","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Childhood Acute Megakaryoblastic Leukemia"
"SIDM01660","ACH-000709",NA,"KMRC2_KIDNEY",NA,"KMRC-2",NA,"CCRCC","Kidney","Kidney Carcinoma","Clear Cell Renal Cell Carcinoma"
"SIDM01561","ACH-000799",NA,"HS695T_SKIN","CVCL_0851","Hs-695-T",NA,"MEL","Skin","Melanoma","Amelanotic Melanoma"
"SIDM01628","ACH-000851",NA,"MORCPR_LUNG","CVCL_2620","MOR-CPR",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00560","ACH-000678","924250","MKN7_STOMACH","CVCL_1417","MKN7",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Tubular Adenocarcinoma"
"SIDM01664","ACH-000952",NA,"MDAPCA2B_PROSTATE",NA,"MDA-PCa-2b",NA,"PRAD","Prostate","Prostate Carcinoma","Prostate Carcinoma"
"SIDM01609","ACH-000972",NA,"HEC151_ENDOMETRIUM","CVCL_2925","HEC-151",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00498","ACH-000970","1674021","SNUC5_LARGE_INTESTINE","CVCL_5112","SNU-C5","NCI-SNU-C5;SNU-C5/WT","COREAD","Large Intestine","Colorectal Carcinoma","Cecum Adenocarcinoma"
"SIDM01608","ACH-000990",NA,"HEC108_ENDOMETRIUM","CVCL_2923","HEC-108",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01588","ACH-000993",NA,"JHUEM7_ENDOMETRIUM","CVCL_4658","JHUEM-7",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01617","ACH-000994",NA,"HEC59_ENDOMETRIUM","CVCL_2930","HEC-59",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM01611","ACH-000996",NA,"HEC251_ENDOMETRIUM","CVCL_2927","HEC-251",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Carcinoma"
"SIDM00539","ACH-001496","1503366","ESO26_OESOPHAGUS","CVCL_2035","ESO26",NA,"ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
