"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01774","ACH-000205",NA,"PK59_PANCREAS",NA,"PK-59",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Carcinoma"
"SIDM00192","ACH-000286",NA,"SNU1033_LARGE_INTESTINE","CVCL_5002","SNU-1033",NA,"READ","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01447","ACH-000289",NA,"SNU466_CENTRAL_NERVOUS_SYSTEM","CVCL_5064","SNU-466",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01554","ACH-000331",NA,"ISTMES2_PLEURA","CVCL_1312","IST-MES-2",NA,"PLEMESO","Lung","Mesothelioma","Pleural Epithelioid Mesothelioma"
"SIDM01689","ACH-000492",NA,"MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MUTZ-5",NA,"BLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM01460","ACH-000592",NA,"TM31_CENTRAL_NERVOUS_SYSTEM","CVCL_6735","TM-31",NA,"ASTR","Central Nervous System","Glioma","Astrocytoma"
"SIDM00497","ACH-000683",NA,"SNU503_LARGE_INTESTINE","CVCL_5071","SNU-503","NCI-SNU-503","READ","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01435","ACH-000686",NA,"SNU878_LIVER","CVCL_5102","SNU-878",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM01587","ACH-000753",NA,"JMSU1_URINARY_TRACT","CVCL_2081","JMSU-1",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01612","ACH-000946",NA,"HEC265_ENDOMETRIUM","CVCL_2928","HEC-265",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00194","ACH-000532","1660035","SNU61_LARGE_INTESTINE","CVCL_5078","SNU-61","NCI-SNU-61","COREAD","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM00074","ACH-000402","910707","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1088","BL-70","IARC/BL70","BL","Haematopoietic and Lymphoid","Burkitt's Lymphoma","Burkitt's Lymphoma"
"SIDM01529","ACH-000011",NA,"253J_URINARY_TRACT","CVCL_7935","253J",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01387","ACH-000921",NA,"NCIH1339_LUNG","CVCL_A472","NCI-H1339",NA,"LUSC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00217","ACH-000999","1659823","SNU1040_LARGE_INTESTINE","CVCL_5003","SNU-1040","NCI-SNU-1040","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00799","ACH-000558","687563","A172_CENTRAL_NERVOUS_SYSTEM","CVCL_0131","A172","A-172 MG","GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00993","ACH-000838","1295741","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1806","AMO-1",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01229","ACH-002217","753616","BE2M17_AUTONOMIC_GANGLIA","CVCL_0167","BE2-M17","SK-N-BE(2)-M17","NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00990","ACH-000603","753534","BEN_LUNG","CVCL_1082","BEN",NA,"UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Non-Small Cell Lung Carcinoma"
"SIDM00946","ACH-000981","1297446","DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2022","DND-41",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00019","ACH-001140","1333019","NCIH820_LUNG","CVCL_1592","NCI-H820",NA,NA,"Lung","Non-Small Cell Lung Carcinoma","Papillary Lung Adenocarcinoma"
"SIDM01658","ACH-000598",NA,"KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KMS-21-BM",NA,"PCM","Unknown","Unknown",NA
"SIDM00216","ACH-000989","1659928","SNU175_LARGE_INTESTINE","CVCL_5031","SNU-175","NCI-SNU-175","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01471","ACH-000604",NA,"KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2095","KYO-1",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01752","ACH-000685",NA,"L33_PANCREAS",NA,"L3-3",NA,"PAASC","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00422","ACH-001203","1331039","SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2208","SUP-HD1",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Hodgkin's Lymphoma","Hodgkin's Lymphoma"
"SIDM01397","ACH-000765",NA,"WM983B_SKIN","CVCL_6809","WM983B",NA,"MEL","Skin","Melanoma","Melanoma"
"SIDM01735","ACH-000808",NA,"HUH28_BILIARY_TRACT",NA,"HuH-28",NA,"IHCH","Biliary Tract","Biliary Tract Carcinoma","Intrahepatic Cholangiocarcinoma"
"SIDM00046","ACH-000109","1247873","NCIH3255_LUNG","CVCL_6831","H3255","NCI-H3255;H3255_DA","LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01577","ACH-000889",NA,"KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2981","KMM-1",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01069","ACH-000667","1240145","HCC44_LUNG","CVCL_2060","HCC-44","HCC0044","LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00128","ACH-002249","1240161","JHU011_UPPER_AERODIGESTIVE_TRACT","CVCL_5986","JHU-011","JHU-011-SCC;JHU-O11;HNSCC 011","HNSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM01037","ACH-000711","1298157","JIMT1_BREAST","CVCL_2077","JIMT-1",NA,"BRCA","Breast","Breast Carcinoma","Breast Carcinoma"
"SIDM00296","ACH-002051","753588","LU134A_LUNG","CVCL_1387","LU-134-A","NCC-c-Lu-134-A-H","SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00455","ACH-000599","1298526","PATU8902_PANCREAS","CVCL_1845","PA-TU-8902",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00454","ACH-000689","971774","RH18_SOFT_TISSUE","CVCL_1659","RH-18","SJRH18","UNCLASSIFIED","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma"
"SIDM01163","ACH-000677","724878","SW1573_LUNG","CVCL_1720","SW1573",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Bronchiolo-Alveolar Lung Carcinoma"
"SIDM01168","ACH-001399","909753","SW626_OVARY","CVCL_1725","SW626",NA,"OV","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00234","ACH-002201","946357","TCYIK_CERVIX","CVCL_1737","TC-YIK",NA,"UNCLASSIFIED","Cervix","Other Solid Cancers","Cervical Small Cell Carcinoma"
"SIDM01183","ACH-001417","909779","UMC11_LUNG","CVCL_1784","UMC-11","NCI-UMC-11","UNCLASSIFIED","Lung","Other Solid Cancers","Lung Carcinoid Tumor"
"SIDM01300",NA,NA,NA,NA,"HCM-SANG-0280-C18","WTSI-COLO_081",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01287",NA,NA,NA,NA,"HCM-SANG-0290-C15","WTSI-OESO_005",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01949",NA,NA,NA,NA,"HCM-SANG-0523-C15","WTSI-OESO_181",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00959","ACH-000641","910566","CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0216","CMK",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Childhood Acute Megakaryoblastic Leukemia"
"SIDM00984","ACH-001452","906695","BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1090","BONNA-12",NA,"HCL","Haematopoietic and Lymphoid","Other Blood Cancers","Hairy Cell Leukemia"
"SIDM00980","ACH-000948","910924","2313287_STOMACH","CVCL_1046","23132-87","St 23132","STAD","Stomach","Gastric Carcinoma","Gastric Adenocarcinoma"
"SIDM01240","ACH-001002","1287706","451LU_SKIN","CVCL_6357","451Lu","WM 451-Lu;WC00059;LU451;EST81","SKCM","Skin","Melanoma","Melanoma"
"SIDM00849","ACH-000429","910920","A704_KIDNEY","CVCL_1065","A704",NA,"KIRC","Kidney","Kidney Carcinoma","Renal Cell Carcinoma"
"SIDM00826","ACH-001039","905961","COLO205_LARGE_INTESTINE","CVCL_0218","COLO-205","Co 205","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00951","ACH-002222","753548","CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1150","CTV-1",NA,"LAML","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Adult T Acute Lymphoblastic Leukemia"
"SIDM00887","ACH-000211","906833","DAOY_CENTRAL_NERVOUS_SYSTEM","CVCL_1167","Daoy","D324 Med","MB","Central Nervous System","Other Solid Cancers","Medulloblastoma"
"SIDM00307","ACH-000261",NA,"RERFLCAI_LUNG","CVCL_4402","RERF-LC-AI","RERF-LC-A1","LUSC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00366",NA,NA,NA,"CVCL_W531","SBC-2",NA,NA,"Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00964","ACH-001453","924105","BPH1_PROSTATE","CVCL_1091","BPH-1",NA,"UNCLASSIFIED","Prostate","Non-Cancerous","Benign Prostatic Hyperplasia"
"SIDM00072","ACH-000206","906829","C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1099","C8166","C8166-CD4","TLL","Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01986",NA,NA,NA,NA,"EA-hy926",NA,NA,"Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00486","ACH-000563","753554","EBC1_LUNG","CVCL_2891","EBC-1","EBC-1/original","LUSC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM01044","ACH-000585","753556","EPLC272H_LUNG","CVCL_1197","EPLC-272H",NA,"LUSC","Lung","Other Solid Cancers","Lung Mucoepidermoid Carcinoma"
"SIDM00538","ACH-001497","1503367","ESO51_OESOPHAGUS","CVCL_2036","ESO51",NA,"ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00205","ACH-002110","949163","EW1_BONE","CVCL_1208","EW-1","IARC-EW1","UNCLASSIFIED","Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM00596","ACH-001517","907051","HEC1_ENDOMETRIUM","CVCL_1274","HEC-1",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00594","ACH-000004","907053","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0001","HEL","GM06141;Human ErythroLeukemia","LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Erythroleukemia"
"SIDM00133","ACH-000861","905972","HOP62_LUNG","CVCL_1285","HOP-62",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00668","ACH-002245","1322218","HS445_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0761","Hs-445","HS 445T","UNCLASSIFIED","Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00690","ACH-002251","1298156","JHU029_UPPER_AERODIGESTIVE_TRACT","CVCL_5993","JHU-029","JHU-O29;HNSCC 029","HNSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM00312","ACH-000183","924239","L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1357","L-363",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00387","ACH-000078","908135","MHHNB11_AUTONOMIC_GANGLIA","CVCL_1412","MHH-NB-11",NA,"NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00504","ACH-001126","908145","MOGGUVW_CENTRAL_NERVOUS_SYSTEM","CVCL_2614","MOG-G-UVW","GO-G-UVW","LGG","Central Nervous System","Glioma","Anaplastic Astrocytoma"
"SIDM00257","ACH-002280","949177","NB13_AUTONOMIC_GANGLIA","CVCL_1443","NB13","SJNB-13;NB13-DH","NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00724","ACH-000121","687821","NCIH2405_LUNG","CVCL_1551","NCI-H2405",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00719","ACH-001364","688021","NCIH345_LUNG","CVCL_1558","NCI-H345",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00445","ACH-002292","1503362","OACP4C_OESOPHAGUS","CVCL_1843","OACp4C",NA,"ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00847","ACH-000169","909264","RD_SOFT_TISSUE","CVCL_1649","RD","RD-2;130T;TE-32;TE 32.T","UNCLASSIFIED","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma"
"SIDM00400","ACH-002392;ACH-002303","1331031;1331030","SC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;SCI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2717;CVCL_1888","SC-1","Sci-1","FL","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Follicular Lymphoma"
"SIDM00370","ACH-000197","909762","TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1736","TALL-1",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Adult T Acute Lymphoblastic Leukemia"
"SIDM00252","ACH-001861","909769","TGBC1TKB_BILIARY_TRACT","CVCL_1769","TGBC1TKB",NA,"UNCLASSIFIED","Biliary Tract","Biliary Tract Carcinoma","Undifferentiated Gallbladder Carcinoma"
"SIDM01964",NA,NA,NA,NA,"HCM-SANG-0544-C15","WTSI-OESO_196",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01299",NA,NA,NA,NA,"HCM-SANG-0281-C18","WTSI-COLO_085",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00662","ACH-000135","1298145","HS940T_FIBROBLAST","CVCL_1038","Hs-940-T",NA,"SKCM","Skin","Melanoma","Melanoma"
"SIDM00646","ACH-000129","1330964","NCIH1341_LUNG","CVCL_1463","NCI-H1341",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00065","ACH-000393","998181","HLF_LIVER","CVCL_2947","HLF",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM00378",NA,NA,NA,"CVCL_3019","Marcus",NA,NA,"Central Nervous System","Glioma","Astrocytoma"
"SIDM00022",NA,NA,NA,"CVCL_4455","TE-2",NA,NA,"Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00028","ACH-001386",NA,"SCLC22H_LUNG","CVCL_2186","SCLC-22H",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00031","ACH-001643","1240211","SCCH196_SOFT_TISSUE","CVCL_3161","SCCH-196",NA,NA,"Soft Tissue","Other Solid Cancers","Small Cell Sarcoma"
"SIDM00034",NA,"1299049",NA,"CVCL_H589","SACC-83",NA,NA,"Head and Neck","Head and Neck Carcinoma","Salivary Gland Adenoid Cystic Carcinoma"
"SIDM00038",NA,"1298150",NA,"CVCL_2529","Ishikawa",NA,NA,"Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00058","ACH-000676",NA,"LN464_CENTRAL_NERVOUS_SYSTEM","CVCL_3962","LN-464",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01624","ACH-000026",NA,"253JBV_URINARY_TRACT","CVCL_7937","253JB-V",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01325","ACH-000031",NA,"PANC0213_PANCREAS","CVCL_1634","Panc-02-13",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM01693","ACH-000032",NA,"MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MHH-CALL-3",NA,"BLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Childhood B Acute Lymphoblastic Leukemia"
"SIDM00396","ACH-000112","909715","SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1694","SIG-M5",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM01743","ACH-000043",NA,"HS895T_FIBROBLAST",NA,"Hs-895-T",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM01139","ACH-000042","1298475","PANC0203_PANCREAS","CVCL_1633","PANC-02-03","Panc 2.03","PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM01596","ACH-000066",NA,"HCC4006_LUNG","CVCL_1269","HCC4006",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00866","ACH-000374","749710","HCC1143_BREAST","CVCL_1245","HCC1143",NA,"BRCA","Breast","Breast Carcinoma","Ductal Breast Carcinoma"
"SIDM01756","ACH-000076",NA,"NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"NCO2",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01763","ACH-000079",NA,"TE125T_FIBROBLAST",NA,"TE-125-T",NA,NA,"Soft Tissue","Rhabdomyosarcoma","Rhabdomyosarcoma"
"SIDM00314","ACH-000097","998207","ZR751_BREAST","CVCL_0588","ZR-75-1",NA,"IDC","Breast","Breast Carcinoma","Invasive Ductal Carcinoma Not Otherwise Specified"
"SIDM00078","ACH-000228","1290725","BICR31_UPPER_AERODIGESTIVE_TRACT","CVCL_2312","BICR31",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Tongue Squamous Cell Carcinoma"
"SIDM00389","ACH-000271","1331033","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1889","SU-DHL-10",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM01685","ACH-000130",NA,"NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"NALM-19",NA,"BLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM01592","ACH-000134",NA,"HS274T_BREAST","CVCL_0711","Hs-274-T",NA,NA,"Breast","Breast Carcinoma","Breast Carcinoma"
"SIDM00791","ACH-000551","905940","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0004","K-562","GM05372","LCML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01167","ACH-000163",NA,"SW579_THYROID","CVCL_3603","SW579",NA,"HNSC","Thyroid","Thyroid Gland Carcinoma","Squamous Cell Thyroid Gland Carcinoma"
"SIDM00461","ACH-000065","1330983","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1620","OCI-AML5",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00159","ACH-000182",NA,"SNU869_BILIARY_TRACT","CVCL_5101","SNU-869",NA,"AMPCA","Biliary Tract","Biliary Tract Carcinoma","Ampulla of Vater Adenocarcinoma"
"SIDM00340","ACH-000204","907791","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0012","LP-1",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01391","ACH-000203",NA,"NH6_AUTONOMIC_GANGLIA","CVCL_1606","NH-6",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Adrenal Neuroblastoma"
"SIDM00338","ACH-000439","1330942","ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2110","ME-1",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00944","ACH-000249","1290769","CL11_LARGE_INTESTINE","CVCL_1978","CL-11",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01727","ACH-000241",NA,"JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"JK-1",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01058","ACH-000073","1303897","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1818","GRANTA-519","G519","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Mantle Cell Lymphoma"
"SIDM00823","ACH-000253","906819","COLO201_LARGE_INTESTINE","CVCL_1987","COLO-201",NA,"COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01368","ACH-000255",NA,"LMSU_STOMACH","CVCL_4849","LMSU",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Carcinoma"
"SIDM00001","ACH-000405","1330943","MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1870","MEC-1",NA,"CLLSLL","Haematopoietic and Lymphoid","Other Blood Cancers","Chronic Lymphocytic Leukemia"
"SIDM01739","ACH-000297",NA,"NCIH889_LUNG",NA,"NCI-H889",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01321","ACH-000307",NA,"PK1_PANCREAS","CVCL_4717","PK-1",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Carcinoma"
"SIDM01434","ACH-000316",NA,"SNU886_LIVER","CVCL_5103","SNU-886",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM01781","ACH-000325",NA,"SNU620_STOMACH",NA,"SNU-620",NA,"STAD","Stomach","Gastric Carcinoma","Gastric Adenocarcinoma"
"SIDM00135","ACH-000148","905957","HS578T_BREAST","CVCL_0332","Hs-578-T","HS0578T","BRCA","Breast","Breast Carcinoma","Invasive Ductal Carcinoma Not Otherwise Specified"
"SIDM00160","ACH-000377",NA,"SNU478_BILIARY_TRACT","CVCL_5065","SNU-478","NCI-SNU-478","AMPCA","Biliary Tract","Biliary Tract Carcinoma","Ampulla of Vater Adenocarcinoma"
"SIDM01629","ACH-000404",NA,"K029AX_SKIN","CVCL_8784","K029AX",NA,"SKCM","Skin","Melanoma","Cutaneous Melanoma"
"SIDM01377","ACH-000409",NA,"OVSAHO_OVARY","CVCL_3114","OVSAHO",NA,"HGSOC","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM01545","ACH-000511",NA,"CALU1_LUNG","CVCL_0608","Calu-1",NA,"LUSC","Lung","Non-Small Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00991","ACH-000519","909261","PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1913","PEER",NA,"TLL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00168","ACH-000549",NA,"SNU1076_UPPER_AERODIGESTIVE_TRACT","CVCL_5006","SNU-1076","NCI-SNU-1076","LXSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM01006","ACH-000193","1327775","KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1823","KARPAS-620","K620","MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00994","ACH-000105","1295740","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1805","ALL-SIL","SIL-ALL","ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00930","ACH-001715","906827","CAL72_BONE","CVCL_1113","CAL-72",NA,"UNCLASSIFIED","Bone","Osteosarcoma","Osteosarcoma"
"SIDM00300","ACH-002156","1298223","LC1SQ_LUNG","CVCL_3008","LC-1-sq","Lung cancer-1/squamous","LUSC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00020",NA,"1331026",NA,"CVCL_3791","RWPE-1",NA,NA,"Prostate","Non-Cancerous","Non-Cancerous"
"SIDM00004",NA,"905988",NA,"CVCL_0417","MDA-MB-435","MDA-435",NA,"Skin","Melanoma","Amelanotic Melanoma"
"SIDM00141",NA,NA,NA,"CVCL_1991","COLO-685",NA,NA,"Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00147","ACH-000028","907316","KPL1_BREAST","CVCL_2094","KPL-1",NA,"BRCA","Breast","Breast Carcinoma","Invasive Ductal Carcinoma Not Otherwise Specified"
"SIDM00152",NA,"909783",NA,"CVCL_2760","WIDR","WiDr-TC;LED-WiDr",NA,"Large Intestine","Colorectal Carcinoma","Rectosigmoid Adenocarcinoma"
"SIDM00204",NA,NA,NA,"CVCL_3446","EW-2",NA,NA,"Bone","Ewing's Sarcoma","Ewing's Sarcoma"
"SIDM00219","ACH-001145",NA,"OC316_OVARY","CVCL_1618","OC-316",NA,"SOC","Ovary","Ovarian Carcinoma","Ovarian Serous Adenocarcinoma"
"SIDM00229","ACH-001501",NA,"FTC236_THYROID","CVCL_2446","FTC-236",NA,NA,"Thyroid","Thyroid Gland Carcinoma","Follicular Thyroid Carcinoma"
"SIDM00236","ACH-000779",NA,"PC9_LUNG","CVCL_B260","PC-9",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00246","ACH-002084",NA,NA,"CVCL_5951","MMAc",NA,"MEL","Skin","Melanoma","Melanoma"
"SIDM01226","ACH-001113",NA,"LC1SQSF_LUNG","CVCL_5480","LC-1-sq-SF","LC-1/sq-Serum Free","LUSC","Lung","Squamous Cell Lung Carcinoma","Squamous Cell Lung Carcinoma"
"SIDM00268",NA,NA,NA,"CVCL_3339","TGBC2TKB",NA,NA,"Biliary Tract","Biliary Tract Carcinoma","Undifferentiated Gallbladder Carcinoma"
